"fecha","rho7dpromedio","incidenciaAcum14d","riesgopor10"
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0.142857142857143,0,0
2020-03-06,0.285714285714286,0,0
2020-03-07,0.428571428571429,0,0
2020-03-08,0.428571428571429,0,0
2020-03-09,0.428571428571429,0.610713129721576,0.261734198452104
2020-03-10,0.428571428571429,0.610713129721576,0.261734198452104
2020-03-11,0.428571428571429,0.610713129721576,0.261734198452104
2020-03-12,0.428571428571429,0.610713129721576,0.261734198452104
2020-03-13,0.428571428571429,0.610713129721576,0.261734198452104
2020-03-14,0.428571428571429,0.610713129721576,0.261734198452104
2020-03-15,0.428571428571429,0.610713129721576,0.261734198452104
2020-03-16,1,1.22142625944315,1.22142625944315
2020-03-17,1.57142857142857,1.22142625944315,1.9193841219821
2020-03-18,2.14285714285714,1.22142625944315,2.61734198452104
2020-03-19,2.57142857142857,1.22142625944315,3.14081038142525
2020-03-20,3,3.66427877832946,10.9928363349884
2020-03-21,3,4.88570503777261,14.6571151133178
2020-03-22,3.0952380952381,6.10713129721576,18.9030254437631
2020-03-23,2.61309523809524,6.71784442693733,17.5543672822946
2020-03-24,2.16071428571429,7.32855755665891,15.8349190063523
2020-03-25,1.76071428571429,7.93927068638049,13.9787873156628
2020-03-26,1.43928571428571,9.16069694582364,13.1848602470247
2020-03-27,1.225,10.3821232052668,12.7181009264518
2020-03-28,1.31071428571429,10.9928363349884,14.4084676247883
2020-03-29,1.35833333333333,12.8249757241531,17.420592025308
2020-03-30,1.36428571428571,14.0464019835962,19.1633055633349
2020-03-31,1.40850340136054,16.4892545024825,23.2251710526463
2020-04-01,1.3656462585034,17.0999676322041,23.3525068174488
2020-04-02,1.29421768707483,17.0999676322041,22.1310805580057
2020-04-03,1.22278911564626,16.4892545024825,20.1628809307567
2020-04-04,1.45850340136054,18.3213938916473,26.7218153086339
2020-04-05,1.54778911564626,17.7106807619257,27.4123989139942
2020-04-06,1.61128117913832,18.9321070213689,30.5049477249641
2020-04-07,1.66230158730159,21.3749595402552,35.5316291722734
2020-04-08,1.76230158730159,23.2070989294199,40.8979072799816
2020-04-09,1.73757631257631,24.428525188863,42.4464267193422
2020-04-10,1.53977411477411,24.428525188863,37.6144107479187
